ixdat version = 0.2.1dev
name = RuO2 G-450OX-10cyc.txt AND timescan-RuO2G-450Ox-CV-10cyc.txt
technique = EC-MS
tstamp = 1608572231.4
backend_name = BackendBase(none, address=none)
id = 6
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M45' and 'M31' and 'M32' and 'M44' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M45,	M31,	M32,	M44,	M18
148,	1.19,	0.03218,	0.0,	9.9008e-12,	6.54857098886437e-13,	9.754147458412503e-14,	1.0501e-13,	4.1658237676155956e-13,	1.4599196178549721e-13,	4.905772341735705e-12
150,	1.2,	0.05437,	0.0,	9.893004401002317e-12,	6.580708240751239e-13,	9.662132546810473e-14,	1.0962971306946971e-13,	5.483894036796776e-13,	1.4815931108655692e-13,	4.891174162243754e-12
152,	1.21,	0.09851,	0.0,	9.837239801375619e-12,	6.515109956384223e-13,	9.295457025215564e-14,	1.2707097706458545e-13,	8.140865398545807e-13,	1.5358e-13,	4.8949e-12
154,	1.22,	0.1756,	0.0,	9.654875229107572e-12,	6.577885806240454e-13,	9.208341588479162e-14,	1.497093001309186e-13,	1.317606049530875e-12,	1.5495865917521275e-13,	4.907064395592407e-12
156,	1.23,	0.2963,	0.0,	9.498039008479125e-12,	6.647865216739213e-13,	9.517938990500812e-14,	1.7750359937681645e-13,	2.178666506864832e-12,	1.5202628072819432e-13,	4.882058534549494e-12
158,	1.24,	0.46440000000000003,	0.0,	9.110669064857862e-12,	6.633844184894443e-13,	9.448126892005182e-14,	2.6724880706501026e-13,	4.0017961283438756e-12,	1.6376961169118207e-13,	4.929292327185428e-12
160,	1.25,	0.6661,	0.0,	8.569203678423717e-12,	6.740381388555432e-13,	9.685724387307254e-14,	3.803853973284711e-13,	6.671001503182494e-12,	1.6629216248499443e-13,	4.9476e-12
162,	1.26,	0.7026,	0.0,	8.206350996959208e-12,	6.802195415479355e-13,	9.636361379257588e-14,	5.468782942875175e-13,	9.32601383885712e-12,	1.8285598864005814e-13,	4.977441076708294e-12
164,	1.25,	0.6517,	0.0,	8.064327695902953e-12,	6.856567160742347e-13,	9.400632189387336e-14,	6.333180394945432e-13,	1.1224405308880712e-11,	1.7941111828297812e-13,	5.026502726684211e-12
166,	1.24,	0.4503,	0.0,	8.074559156086997e-12,	6.999595879599358e-13,	9.861201063662445e-14,	6.553423487558347e-13,	1.1812510864687719e-11,	1.8946607068925899e-13,	5.0905312325377496e-12
168,	1.23,	0.2893,	0.0,	8.127304846039968e-12,	7.099633068397653e-13,	9.356013956783397e-14,	6.420465116702715e-13,	1.1344584376404799e-11,	1.890934658011735e-13,	5.080136425651297e-12
170,	1.22,	0.16890000000000002,	0.0,	8.38077133592235e-12,	6.981786670488862e-13,	9.281118203012082e-14,	5.850104987019682e-13,	1.037582994002198e-11,	1.927716221956013e-13,	5.073336510590959e-12
172,	1.21,	0.09113,	0.0,	8.619047513995899e-12,	7.020431570955918e-13,	9.602958470988812e-14,	5.004184056960019e-13,	8.895348315953787e-12,	1.890339493230969e-13,	5.044141422097991e-12
174,	1.2,	0.047939999999999997,	0.0,	8.860237082696925e-12,	6.9183e-13,	9.326332527444001e-14,	4.2573867265268195e-13,	7.581731654935406e-12,	1.955827796034069e-13,	5.0880341125749584e-12
176,	1.19,	0.02701,	0.0,	9.06829298831916e-12,	6.962734866928736e-13,	9.305227243912023e-14,	3.744002381367037e-13,	6.352995762479649e-12,	1.893052506632361e-13,	5.108512427581544e-12
178,	1.18,	0.01726,	0.0,	9.21505315473999e-12,	6.935910232192937e-13,	9.3526e-14,	3.185974998198954e-13,	5.422047802524656e-12,	1.9540521686586115e-13,	5.076910728835717e-12
180,	1.17,	0.01254,	0.0,	9.30262554755384e-12,	6.83890782934351e-13,	9.423795499573498e-14,	2.856824490602127e-13,	4.67755219574325e-12,	1.938808385099309e-13,	5.036339588095338e-12
182,	1.16,	0.01026,	0.0,	9.447265668291956e-12,	6.729855214340027e-13,	9.238436317559738e-14,	2.5953233655383326e-13,	4.016612290859816e-12,	1.9196577073551268e-13,	5.031303517450662e-12
184,	1.15,	0.00906,	0.0,	9.538656463211961e-12,	6.707e-13,	9.600638465717488e-14,	2.3438258622742825e-13,	3.490650772102669e-12,	1.842661522499469e-13,	5.0009e-12
186,	1.14,	0.008282,	0.0,	9.680536834572654e-12,	6.8192e-13,	9.008838142429652e-14,	2.0899316680994596e-13,	3.042905247649581e-12,	1.837461916501941e-13,	5.00583416595027e-12
188,	1.13,	0.007753,	0.0,	9.60341243376303e-12,	6.6513e-13,	9.307157123710394e-14,	2.04150587471264e-13,	2.703670080712208e-12,	1.9391889057696803e-13,	5.0009e-12
190,	1.12,	0.007304,	0.0,	9.645290652830495e-12,	6.661805647990156e-13,	9.242792502118375e-14,	1.7908792603452079e-13,	2.408030671286462e-12,	1.832483252057434e-13,	5.0009e-12
192,	1.11,	0.0068059999999999996,	0.0,	9.7294e-12,	6.897203281900261e-13,	9.139159550705443e-14,	1.8287803313637072e-13,	2.156310156228097e-12,	1.7923858956228993e-13,	5.04774346103942e-12
194,	1.1,	0.0065699999999999995,	0.0,	9.791251113125803e-12,	6.813816461562167e-13,	9.243468546303497e-14,	1.6849887818792308e-13,	2.007409808393147e-12,	1.8182067912033568e-13,	4.9533689247153846e-12
196,	1.09,	0.006339,	0.0,	9.781163264147154e-12,	6.763e-13,	9.66789272084244e-14,	1.638853647051082e-13,	1.8076574282676376e-12,	1.862468801806513e-13,	5.0009e-12
198,	1.08,	0.006004,	0.0,	9.796233164067314e-12,	6.665651291521378e-13,	9.283195503110908e-14,	1.4935513975913517e-13,	1.6389953857650272e-12,	1.8057055124852005e-13,	4.996665028156322e-12
200,	1.07,	0.005679,	0.0,	9.8469e-12,	6.534319428727052e-13,	9.625666281350673e-14,	1.4859992997229997e-13,	1.5289250493619675e-12,	1.7640801579582958e-13,	5.0279e-12
202,	1.06,	0.005370000000000001,	0.0,	9.896126802868033e-12,	6.719826840111686e-13,	9.305959930986941e-14,	1.572736469484268e-13,	1.3750487500916284e-12,	1.7982787875796242e-13,	5.023469466028679e-12
204,	1.05,	0.005015,	0.0,	9.875235675875985e-12,	6.800310966342299e-13,	9.280562892503054e-14,	1.329640734146767e-13,	1.276108577373362e-12,	1.8176969974792228e-13,	4.971174149755467e-12
