ixdat version = 0.2.1dev
name = 01-Ru rgo 450H-50Ag.txt AND timescan-sem190-LOW.txt
technique = EC-MS
tstamp = 1577186652.6
backend_name = BackendBase(none, address=none)
id = 9
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M44' and 'M32' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M44,	M32,	M18
186,	1.1649249999955296,	0.118,	0.0,	7.854823964078266e-11,	1.2858486207931109e-12,	1.1650067047822914e-12,	6.669782648111086e-12,	1.8476392501899826e-11
188,	1.16501,	0.118,	0.0,	7.836064294864077e-11,	1.3221800734254027e-12,	1.1681348038242908e-12,	6.8166689612144204e-12,	1.849688560939228e-11
190,	1.1650999999940395,	0.118,	0.0,	7.8164e-11,	1.2990322486071087e-12,	1.1967636113269053e-12,	6.830981359545584e-12,	1.8569748524579217e-11
192,	1.16518,	0.118,	0.0,	7.834319127284492e-11,	1.3196165615806542e-12,	1.1754449684741962e-12,	6.927869994996501e-12,	1.8707e-11
194,	1.1652649999955296,	0.118,	0.0,	7.813960850350244e-11,	1.2907311631441535e-12,	1.1723612417893715e-12,	7.078523848254795e-12,	1.8434968434694937e-11
196,	1.16536,	0.118,	0.0,	7.836951781532388e-11,	1.2876650904862047e-12,	1.1596047387929153e-12,	7.0719743305234116e-12,	1.847489057879758e-11
198,	1.1655299999970197,	0.118,	0.0,	7.8585e-11,	1.303357296384878e-12,	1.1578e-12,	7.184463014857193e-12,	1.827390630831145e-11
200,	1.16559,	0.118,	0.0,	7.83927683074443e-11,	1.2906425104114155e-12,	1.1704476296865476e-12,	7.184273161684486e-12,	1.8376063157884837e-11
202,	1.1656649999955297,	0.118,	0.0,	7.8374e-11,	1.3257141747024916e-12,	1.1481600004907255e-12,	7.398854176665394e-12,	1.8425498060360643e-11
204,	1.16574,	0.118,	0.0,	7.852214495497791e-11,	1.3200154794564996e-12,	1.1553627258628215e-12,	7.066586576421859e-12,	1.858965780606928e-11
